Title,Link,Competencies
,,[]
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,['C\nP\nA\nB']
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,['A\nK\nP']
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,['A\nB\nP\nS']
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,['B\nP']
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,['B\nP']
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,['A\nB\nK\nP']
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,['A\nB\nP']
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,['A\nB\nP\nS']
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,['B\nP\nS\nA']
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,['P\nS\nK\nB\nA']
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,['A\nB\nP']
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,['B\nA\nP']
,,[]
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,['A\nE\nB\nC\nD\nP']
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,['Knowledge of Subject']
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,['Knowledge of Subject']
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,['Knowledge of Subject']
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,['Knowledge of Subject']
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,['Knowledge of Subject']
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,['Knowledge of Subject']
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,['Knowledge of Subject']
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,['Sales Skills']
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,['Knowledge of Subject']
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,['Sales Skills']
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,['Knowledge of Subject']
,,[]
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,['Knowledge of Subject']
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,['Knowledge of Subject']
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,['Knowledge of Subject']
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,['Knowledge of Subject']
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,['Knowledge of Subject']
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,['Knowledge of Subject']
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,['Problem Solving']
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,['Knowledge of Subject']
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,['Knowledge of Subject']
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,['Knowledge of Subject']
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,['Knowledge of Subject']
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,['Knowledge of Subject']
,,[]
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,['Knowledge of Subject']
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,['Knowledge of Subject']
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,['Knowledge of Subject']
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,['Knowledge of Subject']
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,['Knowledge of Subject']
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,['Knowledge of Subject']
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,['Knowledge of Subject']
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,['Knowledge of Subject']
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,['Emotional Intelligence']
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,['Sales Skills']
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,['Sales Skills']
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,['Sales Skills']
,,[]
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,['Sales Skills']
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,['Sales Skills']
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,['Sales Skills']
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,['Sales Skills']
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,['Sales Skills']
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,['Knowledge of Subject']
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,['Knowledge of Subject']
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,['Knowledge of Subject']
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,['S\nK']
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,['Knowledge of Subject']
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,['Knowledge of Subject']
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,['Knowledge of Subject']
,,[]
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,['Knowledge of Subject']
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,['Knowledge of Subject']
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,['Knowledge of Subject']
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,['Knowledge of Subject']
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,['Knowledge of Subject']
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,['Knowledge of Subject']
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,['Knowledge of Subject']
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,['Knowledge of Subject']
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,['Knowledge of Subject']
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,['Knowledge of Subject']
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,['Knowledge of Subject']
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,['Knowledge of Subject']
,,[]
