Title,Link,Competencies
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"['Critical Thinking', 'Problem Solving', 'Attention To Detail', 'Business Communication']"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"['Attention To Detail', 'Knowledge Of Subject', 'Problem Solving']"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"['Attention To Detail', 'Business Communication', 'Problem Solving', 'Sales Skills']"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"['Business Communication', 'Problem Solving']"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"['Attention To Detail', 'Business Communication', 'Knowledge Of Subject', 'Problem Solving']"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"['Attention To Detail', 'Business Communication', 'Problem Solving']"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"['Attention To Detail', 'Business Communication', 'Problem Solving', 'Sales Skills']"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"['Business Communication', 'Problem Solving', 'Sales Skills', 'Attention To Detail']"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"['Problem Solving', 'Sales Skills', 'Knowledge Of Subject', 'Business Communication', 'Attention To Detail']"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"['Attention To Detail', 'Business Communication', 'Problem Solving']"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"['Business Communication', 'Attention To Detail', 'Problem Solving']"
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,"['Attention To Detail', 'Emotional Intelligence', 'Business Communication', 'Critical Thinking', 'Data Interpretation', 'Problem Solving']"
.Net Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,['Knowledge Of Subject']
.Net Mvc (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,['Knowledge Of Subject']
.Net Mvvm (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,['Knowledge Of Subject']
.Net Wcf (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,['Knowledge Of Subject']
.Net Wpf (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,['Knowledge Of Subject']
.Net Xaml (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,['Knowledge Of Subject']
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,['Knowledge Of Subject']
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,['Sales Skills']
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,['Knowledge Of Subject']
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,['Sales Skills']
Ado.Net (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,['Knowledge Of Subject']
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,['Knowledge Of Subject']
Adobe Photoshop Cc,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,['Knowledge Of Subject']
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,['Knowledge Of Subject']
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,['Knowledge Of Subject']
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,['Knowledge Of Subject']
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,['Knowledge Of Subject']
Ai Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,['Problem Solving']
Amazon Web Services (Aws) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,['Knowledge Of Subject']
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,['Knowledge Of Subject']
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,['Knowledge Of Subject']
Angularjs (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,['Knowledge Of Subject']
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,['Knowledge Of Subject']
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,['Knowledge Of Subject']
Apache Hbase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,['Knowledge Of Subject']
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,['Knowledge Of Subject']
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,['Knowledge Of Subject']
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,['Knowledge Of Subject']
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,['Knowledge Of Subject']
Asp.Net 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,['Knowledge Of Subject']
Assessment And Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,['Emotional Intelligence']
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,['Sales Skills']
Automata - Sql (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,['Sales Skills']
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,['Sales Skills']
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,['Sales Skills']
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,['Sales Skills']
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,['Sales Skills']
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,['Sales Skills']
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,['Sales Skills']
Automation Anywhere Rpa Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,['Knowledge Of Subject']
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,['Knowledge Of Subject']
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,['Knowledge Of Subject']
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,['Knowledge Of Subject']
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,['Knowledge Of Subject']
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,['Knowledge Of Subject']
Biztalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,['Knowledge Of Subject']
Business Communication (Adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,['Knowledge Of Subject']
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,['Knowledge Of Subject']
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,['Knowledge Of Subject']
Cardiology And Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,['Knowledge Of Subject']
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,['Knowledge Of Subject']
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,['Knowledge Of Subject']
Cisco Appdynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,['Knowledge Of Subject']
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,['Knowledge Of Subject']
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,['Knowledge Of Subject']
Cobol Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,['Knowledge Of Subject']
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,['Knowledge Of Subject']
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,['Sales Skills']
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,['Sales Skills']
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,['Knowledge Of Subject']
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,['Knowledge Of Subject']
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,"['Knowledge Of Subject', 'Sales Skills']"
Css3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,['Knowledge Of Subject']
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,['Knowledge Of Subject']
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,"['Business Communication', 'Sales Skills']"
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,"['Business Communication', 'Problem Solving', 'Sales Skills']"
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,['Knowledge Of Subject']
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,['Sales Skills']
Data Entry Alphanumeric Split Screen - Us,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,['Knowledge Of Subject']
Data Entry Numeric Split Screen - Us,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,['Knowledge Of Subject']
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,['Knowledge Of Subject']
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,['Knowledge Of Subject']
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,['Knowledge Of Subject']
Dependability And Safety Instrument (Dsi),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,['Problem Solving']
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,['Knowledge Of Subject']
